epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5225,1.45111,2.6868,1.61146,0.64871,0.5301,0.58699,0.30536,1.67166,1.93939,1.77028,0.000663477,0.000663477,0.000663477
2,40.3187,1.48945,1.85124,1.65372,0.75708,0.57525,0.64519,0.37124,1.60505,1.63182,1.7209,0.00131698,0.00131698,0.00131698
3,55.9431,1.5163,1.60867,1.68372,0.71696,0.58696,0.63045,0.35154,1.66807,1.98406,1.73276,0.00195727,0.00195727,0.00195727
4,71.187,1.47795,1.48068,1.62401,0.73608,0.66722,0.73358,0.4261,1.51775,1.41374,1.58095,0.0019406,0.0019406,0.0019406
5,86.5707,1.4525,1.4402,1.5906,0.75549,0.63378,0.70097,0.31909,1.96209,1.59346,1.97893,0.0019208,0.0019208,0.0019208
6,101.806,1.41265,1.33759,1.57022,0.78108,0.70067,0.78807,0.46596,1.52806,1.18412,1.62113,0.001901,0.001901,0.001901
7,117.164,1.37926,1.28312,1.54121,0.77982,0.74749,0.80789,0.47589,1.51953,1.13192,1.55404,0.0018812,0.0018812,0.0018812
8,132.567,1.34494,1.2389,1.5249,0.83491,0.71405,0.81341,0.44306,1.69567,1.12884,1.67774,0.0018614,0.0018614,0.0018614
