epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,659.513,0.98629,0.7309,1.23997,0.87476,0.8495,0.91371,0.63638,1.15406,0.71801,1.29498,0.0011882,0.0011882,0.0011882
43,675.773,0.99434,0.73977,1.24345,0.9109,0.85786,0.94578,0.69659,0.99516,0.63138,1.1967,0.0011684,0.0011684,0.0011684
44,691.116,0.98442,0.71449,1.24143,0.89933,0.89632,0.94303,0.70959,0.93757,0.61371,1.19378,0.0011486,0.0011486,0.0011486
45,707.22,0.97246,0.71258,1.24024,0.88933,0.9214,0.95616,0.67865,1.0737,0.59238,1.24092,0.0011288,0.0011288,0.0011288
46,722.364,0.95957,0.7167,1.22535,0.89664,0.91391,0.94948,0.71316,0.96109,0.60396,1.18773,0.001109,0.001109,0.001109
47,738.182,0.97543,0.72398,1.24279,0.88499,0.92809,0.95372,0.72198,0.9379,0.58624,1.19334,0.0010892,0.0010892,0.0010892
48,753.324,0.94735,0.6827,1.21733,0.9136,0.90175,0.95971,0.728,0.93632,0.54949,1.16445,0.0010694,0.0010694,0.0010694
49,768.47,0.9646,0.69805,1.2279,0.90118,0.915,0.96316,0.7243,0.93008,0.55733,1.1713,0.0010496,0.0010496,0.0010496
50,784.195,0.93992,0.67391,1.21654,0.88251,0.91304,0.95604,0.73305,0.87916,0.55909,1.14237,0.0010298,0.0010298,0.0010298
51,799.363,0.92,0.65554,1.19522,0.89774,0.94147,0.96636,0.73036,0.92503,0.52107,1.14948,0.00101,0.00101,0.00101
52,815.001,0.92065,0.64717,1.19129,0.89202,0.91177,0.96536,0.73162,0.90106,0.53885,1.14255,0.0009902,0.0009902,0.0009902
53,830.32,0.92252,0.64601,1.19834,0.90099,0.91806,0.95823,0.73957,0.88617,0.53934,1.13757,0.0009704,0.0009704,0.0009704
54,845.939,0.90744,0.65404,1.17743,0.89145,0.93478,0.96237,0.74,0.86748,0.5278,1.14004,0.0009506,0.0009506,0.0009506
55,861.229,0.9107,0.65773,1.18997,0.90052,0.95367,0.96692,0.75312,0.85593,0.50595,1.1213,0.0009308,0.0009308,0.0009308
56,878.1,0.89407,0.62994,1.17013,0.88886,0.96294,0.9698,0.7642,0.84032,0.50702,1.10327,0.000911,0.000911,0.000911
57,893.455,0.90231,0.63799,1.17916,0.90149,0.93311,0.96417,0.76404,0.82103,0.50862,1.09621,0.0008912,0.0008912,0.0008912
58,908.311,0.87934,0.61502,1.16568,0.8921,0.96785,0.97079,0.76256,0.8365,0.494,1.10962,0.0008714,0.0008714,0.0008714
59,924.119,0.86615,0.60935,1.15867,0.91292,0.94147,0.97277,0.76475,0.81305,0.47896,1.09921,0.0008516,0.0008516,0.0008516
60,939.3,0.88364,0.61294,1.16702,0.91073,0.95819,0.97347,0.76782,0.82196,0.47835,1.10263,0.0008318,0.0008318,0.0008318
61,955.042,0.86726,0.61285,1.15591,0.90744,0.95083,0.97375,0.77582,0.80536,0.46819,1.09385,0.000812,0.000812,0.000812
62,970.233,0.85926,0.61124,1.14816,0.91628,0.95652,0.97484,0.76605,0.84149,0.47126,1.10091,0.0007922,0.0007922,0.0007922
63,985.445,0.85529,0.60129,1.1461,0.90428,0.96372,0.97243,0.77628,0.81787,0.4676,1.08408,0.0007724,0.0007724,0.0007724
64,1000.84,0.84544,0.58679,1.14262,0.92098,0.93645,0.97453,0.78659,0.77601,0.46849,1.07013,0.0007526,0.0007526,0.0007526
65,1015.99,0.83527,0.58051,1.14086,0.88672,0.96656,0.97506,0.78709,0.78332,0.4597,1.07697,0.0007328,0.0007328,0.0007328
66,1031.5,0.82333,0.57643,1.13435,0.90679,0.93645,0.97031,0.78204,0.79188,0.46515,1.08115,0.000713,0.000713,0.000713
67,1046.53,0.81672,0.55989,1.12428,0.90323,0.95213,0.9725,0.79777,0.75146,0.45622,1.05516,0.0006932,0.0006932,0.0006932
68,1061.8,0.83038,0.57648,1.13114,0.90252,0.95485,0.97393,0.7886,0.77653,0.46702,1.06826,0.0006734,0.0006734,0.0006734
69,1076.48,0.81799,0.56858,1.12013,0.91422,0.92679,0.97085,0.79723,0.75546,0.46446,1.06172,0.0006536,0.0006536,0.0006536
70,1091.52,0.81213,0.56268,1.12121,0.91133,0.96244,0.97679,0.79843,0.75413,0.44209,1.05729,0.0006338,0.0006338,0.0006338
71,1107.16,0.80966,0.55809,1.12116,0.88814,0.98247,0.97432,0.79989,0.734,0.43984,1.04108,0.000614,0.000614,0.000614
72,1122.49,0.78661,0.54154,1.09202,0.88149,0.98259,0.97233,0.80424,0.72723,0.44121,1.0393,0.0005942,0.0005942,0.0005942
73,1137.81,0.80055,0.55525,1.11386,0.89926,0.96823,0.97466,0.80547,0.72385,0.43234,1.04263,0.0005744,0.0005744,0.0005744
74,1152.33,0.78622,0.53136,1.10338,0.89543,0.97374,0.97626,0.81096,0.70621,0.42805,1.03276,0.0005546,0.0005546,0.0005546
